row_index,chunk_id,doc_id,chunk_index,tokens,title,source,url,tickers,published_utc,s3_body_key,fetched_at,text
0,a1664769ed02320b,0052f23286f4f71c174e0790a7b14fba1ea8806d5405c77daf1fe6269aa87856,0,441,INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Roblox Corporation – RBLX,,,['RBLX'],2025-08-21T18:51:00Z,polygon/0052f23286f4f71c174e0790a7b14fba1ea8806d5405c77daf1fe6269aa87856.txt,,
1,144bee26566be168,00d9074366598ce245fb0eabc4682badf1d7334a29d2351479e59238b0c56ede,0,438,Stocks Week Ahead: Will the S&P 500 Rally Extend Into the New Week?,,,"['AAPL', 'TSLA', 'NVDA', 'AMZN', 'META']",2025-08-25T07:13:00Z,polygon/00d9074366598ce245fb0eabc4682badf1d7334a29d2351479e59238b0c56ede.txt,,
2,cf15c8834528a7c2,00d9074366598ce245fb0eabc4682badf1d7334a29d2351479e59238b0c56ede,1,440,Stocks Week Ahead: Will the S&P 500 Rally Extend Into the New Week?,,,"['AAPL', 'TSLA', 'NVDA', 'AMZN', 'META']",2025-08-25T07:13:00Z,polygon/00d9074366598ce245fb0eabc4682badf1d7334a29d2351479e59238b0c56ede.txt,,
3,b2b7f3ed922751f5,02769fdbc4524052d38fe5f3c22ca03ca0867cc5d07b8d04819abf93743ec592,0,452,"Meet the Marvelous Vanguard ETF With 57.7% of Its Portfolio Invested in the ""Magnificent Seven"" Stocks",,,"['NVDA', 'MSFT', 'AAPL', 'AMZN', 'GOOG', 'GOOGL', 'META', 'TSLA', 'MGK']",2025-08-17T10:31:00Z,polygon/02769fdbc4524052d38fe5f3c22ca03ca0867cc5d07b8d04819abf93743ec592.txt,,
4,41e7bfc654c4af95,02769fdbc4524052d38fe5f3c22ca03ca0867cc5d07b8d04819abf93743ec592,1,266,"Meet the Marvelous Vanguard ETF With 57.7% of Its Portfolio Invested in the ""Magnificent Seven"" Stocks",,,"['NVDA', 'MSFT', 'AAPL', 'AMZN', 'GOOG', 'GOOGL', 'META', 'TSLA', 'MGK']",2025-08-17T10:31:00Z,polygon/02769fdbc4524052d38fe5f3c22ca03ca0867cc5d07b8d04819abf93743ec592.txt,,
5,d59d6c55db61ce72,04ada00686571e4c3a07505c309f12f8de3f407d6ad8734615a8619495a8a52b,0,451,Nasdaq Bear Market: My Top 5 Tech Stocks to Buy Right Now,,,"['AMD', 'ABNB', 'GOOG', 'GOOGL', 'AMZN', 'RBLX']",2025-04-12T14:22:00Z,polygon/04ada00686571e4c3a07505c309f12f8de3f407d6ad8734615a8619495a8a52b.txt,,
6,52d9711ff2363515,04ada00686571e4c3a07505c309f12f8de3f407d6ad8734615a8619495a8a52b,1,386,Nasdaq Bear Market: My Top 5 Tech Stocks to Buy Right Now,,,"['AMD', 'ABNB', 'GOOG', 'GOOGL', 'AMZN', 'RBLX']",2025-04-12T14:22:00Z,polygon/04ada00686571e4c3a07505c309f12f8de3f407d6ad8734615a8619495a8a52b.txt,,
7,b12d72e95d5d3ef0,056d9305674652cf1fbdd46c6dc6497a3c736ddafceaef69a1534bdf9881ee57,0,449,S&P 500 Record Surge: Earnings Momentum Meets Market Realities,,,"['NVDA', 'AAPL', 'TSLA']",2025-08-18T20:13:00Z,polygon/056d9305674652cf1fbdd46c6dc6497a3c736ddafceaef69a1534bdf9881ee57.txt,,
8,abd0f59ab81de6c2,056d9305674652cf1fbdd46c6dc6497a3c736ddafceaef69a1534bdf9881ee57,1,277,S&P 500 Record Surge: Earnings Momentum Meets Market Realities,,,"['NVDA', 'AAPL', 'TSLA']",2025-08-18T20:13:00Z,polygon/056d9305674652cf1fbdd46c6dc6497a3c736ddafceaef69a1534bdf9881ee57.txt,,
9,e96da0abf4670c05,0578dcbaae81b2837027fe56cdaa909e9c1b8f4287973f2e213697c459628fb2,0,458,"Prediction: This Unstoppable Stock Will Join Nvidia, Microsoft, Apple, Amazon, and Alphabet in the $2 Trillion Club by 2028",,,"['TSM', 'NVDA', 'MSFT', 'AAPL', 'GOOG', 'GOOGL', 'AMZN']",2025-08-19T07:02:00Z,polygon/0578dcbaae81b2837027fe56cdaa909e9c1b8f4287973f2e213697c459628fb2.txt,,
